date,temp_avg,temp_max,temp_min,variation
2023-11-01,0.0,0.0,0.0,
2023-11-02,0.0,0.0,0.0,
2023-11-03,0.0,0.0,0.0,
2023-11-04,0.0,0.0,0.0,
2023-11-05,0.0,0.0,0.0,
2023-11-06,0.0,0.0,0.0,
2023-11-07,9.912331178125001,11.256250000000001,8.2625,3.7465090300329487
2023-11-08,16.08052083375,21.200000000000003,10.7,6.5868445042539205
2023-11-09,15.8807291669375,20.487499999999997,11.04375,7.730348863351778
2023-11-10,16.921076195624998,20.9625,14.09375,8.180541854435736
2023-11-11,16.084947431875,19.93125,12.568750000000001,7.671264234889187
2023-11-12,12.978715277500001,15.587499999999999,11.13125,6.052603824099866
2023-11-13,13.620291162625,19.325,8.9625,2.48035488575523
2023-11-14,13.7725429148125,18.78125,7.26875,1.543280757211127
2023-11-15,13.587430555750002,18.025,9.881250000000001,1.5530367670274008
2023-11-16,13.872515129625,19.21875,8.7,1.4807025279045603
2023-11-17,13.2012030575625,14.931249999999999,11.49375,1.0246352972460129
2023-11-18,12.3038328295625,16.6375,9.55,0.5528131785168452
2023-11-19,14.400972222812499,19.9625,8.4625,0.6528706326433463
2023-11-20,13.512638888499998,18.78125,7.625000000000001,0.6518479278257389
2023-11-21,12.900620343687502,18.512500000000003,6.9937499999999995,0.6786573354408693
2023-11-22,15.452743055812501,20.8375,9.431249999999999,1.0373123154610757
2023-11-23,16.706616055625002,22.1125,12.46875,1.5559295992069264
2023-11-24,18.013055461249998,22.19375,12.7875,2.0827190923719816
2023-11-25,13.97057146175,20.081249999999997,8.90625,1.8363892008239693
2023-11-26,11.890078756000001,15.60625,9.90625,2.1838566959678496
2023-11-27,12.973576388562499,18.2,7.424999999999999,2.238850362007075
2023-11-28,16.2787170225,21.225,10.8375,2.1854529746616875
2023-11-29,12.410381944874999,17.59375,6.21875,2.383419810081011
2023-11-30,11.836701389125,17.9125,6.7875000000000005,2.3788633297071518
2023-12-01,10.569017184812502,17.03125,5.075,1.8426140270796232
2023-12-02,10.333390683312501,15.88125,4.11875,1.9806292946513708
